Row Labels,Sum of Amount
EXCELL TEXTILE TRADING CO. KASHIF ISLAM AND NAVEED ISLAM SHERWANI COLONY IMAM SAHAB ROAD SIALKOT.03338808600," 11,585,499.41 "
SHAH NAWAZ CLASSIC THREAD HOUSE NO P-48 ST NO 4 HUSSAIN PARK SANI ROAD RAHIM TOWN FAISALABAD 0412573130 03457862563," 4,552,472.76 "
68," 14,933,498.99 "
"JAWAD IMPEX INTERNATIONAL 21-IFTIKHAR BUILDING, CHAUBURJI, LAHORE."," 14,933,498.99 "
16," 11,288,463.38 "
"ANTHRO PHARMACEUTICALS SUITE NO 401 PEARL HEIGHTS 1, 14-BUKHARI COMMERCIAL LANE 8 PHASE 6  D.H.A KARACHI"," 11,288,463.38 "
6," 9,080,136.45 "
RANGWALA CHEM BIZ HOUSE NO 1 C  ALHAMRA TOWN 19RB EAST CANAL ROAD RAINBOW CENTER FAIS ," 9,080,136.45 "
21," 7,859,231.53 "
"AMMAR BILAL TEXTILE CHAK NO 7, SAME NALA SMALL ESTATE SARGODHA ROAD, FAISALABAD "," 5,853,215.81 "
"MUSTAFA TRADING CO. 1ST FLOOR M/R-7/21-22, DATAR MANZIL,ADAMJEE DAWOOD RD., KARACHI, PAKISTAN."," 2,006,015.72 "
67," 7,736,747.95 "
SUNSOLAR TRADING CO G-88 ODEON SHOPPING CENTER REGAL CHOWK SADDAR KARACHI ," 7,736,747.95 "
5," 7,523,520.26 "
"M/S ZAM ZAM INTERNATIONAL HOUSE NO 24/18, STREET NO 4 NISAR COLONY FAISALABAD"," 5,940,971.71 "
RAFIQUE STEEL CASTING 64 A SMALL IND ESTATE GUJRANWLAL GUJRANWALA PAKISTAN," 1,582,548.55 "
60," 6,941,308.08 "
M S SHAKEEL AUTO TRADERS 15 - AURANGEZEB MARKET M.A.JINNAH ROAD KARACHI PAKISTAN," 6,941,308.08 "
55," 5,015,726.91 "
AL-MAKKAH EXPORTS H # P-145/A ST # 7/3 CANAL ROAD YASRAB COLONY FAISALABAD," 5,015,726.91 "
50," 4,503,223.57 "
"INSAF TEXTILE PRINTINGMILLS PVT LTD P.O BOX NO.,261,MAQBOOL ROAD, FAISALABAD. 041-8718157-59, CELL.0300-8652839"," 4,503,223.57 "
38," 3,632,488.54 "
KHANAM TRADERS MOHALLAH IQBAL TOWN DEFENSE ROAD SIALKOT ," 3,632,488.54 "
43," 3,550,069.73 "
ENA ENTERPRISES 1ST FLOOR SHAFI COURT OPP CENTRAL MEREVETHER R ROAD KARACHI," 3,550,069.73 "
62," 3,144,636.00 "
STANLEY PHARMACEUTICALSS PVT DR TILA MUHAMMAD 442 OLD BARA ROAD UNIVERSITY TOWN PESHAWAR," 3,144,636.00 "
42," 2,987,404.20 "
KST TRADERS HOUSE NO 73 BLOCK NO 35 SARGODHA," 2,987,404.20 "
47," 2,631,012.12 "
"FABRI CHEM HOUSE NO 1-C, ALHAMRA TOWN 19RB EAST CANAL ROAD RAINBOW CENTER FAISALABAD."," 2,631,012.12 "
65," 2,562,878.34 "
MEDICRAFT PHARMACEUTICALS PVT LTD   ," 2,562,878.34 "
35," 2,504,177.42 "
USMAN TRADING COMPANY 156-B GULISTAN COLONY NO.2 MILLAT ROAD FAISALABAD. ," 1,642,400.41 "
EXCEL INTERNATIONAL VENTURS 86 A  NEW MUSLIM TOWN LAHORE PAKISTAN," 861,777.01 "
61," 1,759,611.47 "
"KLASH PVT LTD CHAK NO.117 JB PAHARANG DRAINAGE,MILLAT ROAD, FAISALABAD PAKISTAN"," 961,427.38 "
HANSA LEATHER PRIVATE LIMITED   ," 515,166.85 "
"UNION FABRICS PRIVATE LIMITED E-20/B ,SITE KARACHI KAR"," 283,017.24 "
12," 1,577,559.06 "
PAK BEARING HOUSE SHOP NO 1812 REHMAN GALI NO 2 BRANTHERD ROAD LAHORE LAHORE," 1,577,559.06 "
9," 1,549,278.30 "
"ORBIS IMPEX PLOT # L-39, SECTOR-8,AREA-E GULZAR COLONY,HAZRAT BILAL COLONY KORANGI INDUSTRIAL AREA-KARACHI"," 1,549,278.30 "
58," 964,449.38 "
MS NATIONAL COMMERCIAL   ," 964,449.38 "
Grand Total," 33,590,255,292.74 "
