Row Labels,Sum of Amount
"UNIVET PHARMACEUTICALS., 14KM, ADYALA ROAD, POST OFFICE DAHGAL, RAWALPINDI, PAKISTAN. "," 26,815,228.37 "
"EFROZE CHEMICAL IND PVT LTD 12 - C, BLOCK 6, P.E.C.H.S.. OFF. SHAHRAH-E- FAISAL KARCHI, PAKISTAN"," 24,720,612.14 "
WALTDANZAY PHARMACEUTICALS PLOT NO 35-A INDUSTRIAL ESTATE TEXI LA PAKISTAN ," 22,442,166.50 "
"TABROS PHARMA (PVT) LIMITED, ESSA HOUSE, 32-1-C, BLOCK-6, P.E.C.H.S., KARACHI - PAKISTAN. "," 21,893,792.31 "
OPAL LABORATORIES  PVT  LTD. LC-41 LITE LANDHI INDUSTRIAL AREA LANDHI.PH 5011046-7," 21,496,637.58 "
"LOWITT PHARMA (PVT) LTD., 24 - INDUSTRIAL ESTATE, HAYATABAD, PESHAWAR, PAKISTAN. "," 20,561,097.67 "
QUAPER PVT LTD PLOT NO 26-A SMALL INDUSTRIAL STATE LAHORE ROAD SARGODHA 03216699660," 20,364,662.74 "
M S ARIES PHARMACEUTICAL PVT LTD ROOM NO 45 AMIN MANSION G.T ROAD PESHAWAR PH NO 2217542 2218476 FX 2212239 FACTORY," 20,321,273.85 "
AMEER & ADNAN PHARMACEUTICALS PVT L PLOT NO. 47 SUNDAR INDUSTRIAL ESTATE RAIWAND ROAD LAHORE PAKISTAN," 18,441,919.09 "
"REMINGTON PHARMACEUTICAL INDUSTRIES 18 KM MULTAN ROAD LAHORE 53800, PAKISTAN "," 18,038,192.89 "
"VEGA PHARMACEUTICAL PVT LTD. 30 KM, MULTAN ROAD, LAHORE PAKISTAN "," 16,811,139.14 "
"LIBRA (PVT) LTD 77- INDUSTRIAL ESTATE, JAMRUD ROAD, PESHAWAR- PAKISTAN. "," 13,735,979.69 "
KAIZEN PHARMACEUTICALS PVT LTD. D37 BLOCK 7 CLIFTON KARACHI," 13,435,165.91 "
