,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
76,8513688.01,4256844.005,1,25718.54136, GRANDE DISTRIBUZIONE SRL,ALI TEXTILES,2,0
77,2239627.76,1119813.88,1,745809.9314, GRANDE DISTRIBUZIONE SRL,HBR TEXTILE INDUSTRIES,2,0
78,258892392.2,4707134.403,2,2337421.476,THOMAS KNEALE AND CO LTD,M/S WINTEX EXPORTS PVT LTD,55,0
79,96780659.5,4608602.833,2,2974344.661,THOMAS KNEALE AND CO LTD,WINTEX EXPORTS PVT LTD,21,0
80,19436270.81,6478756.937,13,3456279.433, FREUDENBERG PERFORMANCE MATERIA,FAISAL SPINING MILLS LTD,3,0
81,2505535.9,2505535.9,13,, FREUDENBERG PERFORMANCE MATERIA,ZEPHYR TEXTILES LTD.,1,1
82,9844855.32,2461213.83,21,1799740.866,TODAYS GRAB PTY LTD 9 LABASSA COUR,LOYAL TEXTILE,4,0
83,506130317.3,3749113.461,24,1503514.997, CIMENT DES MASCAREIGNES LTEE,BESTWAY CEMENT LTD,135,0
84,65406332.43,2616253.297,24,739297.5458, CIMENT DES MASCAREIGNES LTEE,PAKCEM LIMITED,25,0
85,12574875.24,1796410.749,5,760535.1669,TAJ FOOD SALES PTY LTD,GUARD AGRI AND RESEARCH SERVICES,7,0
86,2569010.38,2569010.38,5,,TAJ FOOD SALES PTY LTD,NOBEL FOODS PRIVATE LIMITED,1,0
87,3081866.94,3081866.94,4,,XXXLUTZ KG ROEMERSTRASSE 39 A4600,NISHAT MILLS LTD,1,0
88,5029063.96,5029063.96,4,,XXXLUTZ KG ROEMERSTRASSE 39 A4600,RAINBOW INDUSTRIES,1,0
89,4305635.61,4305635.61,8,,VDR FASHION GROUP,MUSTAFA & CO.,1,0
90,14126452.29,1412645.229,8,1650213.418,VDR FASHION GROUP,RUBY INTERNATIONAL,10,0
91,4161764.33,2080882.165,6,2123453.169, GIMA SPA,BURAQ SURGICAL CORPORATIPN,2,0
92,3580046.11,3580046.11,6,, GIMA SPA,NIMRA TEXTILE  PVT  LTD,1,1
93,4437144.29,2218572.145,25,1828490.533,TAYEKS DIS TICARET VE TEKSTIL,INDIGO TEXTILE PVT LTD,2,0
94,1360998.46,1360998.46,25,,TAYEKS DIS TICARET VE TEKSTIL,NAVEENA EXPORTS LTD.,1,0
95,1837843.73,1837843.73,13,,TMG TECIDOS PARA VESTUARIO,MASOOD FABRIC LTD.,1,0
96,3899727.04,3899727.04,13,,TMG TECIDOS PARA VESTUARIO,ROOMI FABRICS LTD,1,0
97,288258.3,288258.3,15,,WS4PORTS AG REUSCH,COMET SPORTS   PVT  LTD,1,0
98,1472942.26,1472942.26,15,,WS4PORTS AG REUSCH,COMET SPORTS PVT LTD,1,0
99,7234759.23,1446951.846,11,136642.7893,VANSH ENTERPRISES,AWAMI TRADERS,5,0
100,1546741.63,1546741.63,11,,VANSH ENTERPRISES,G.M.TRADERS,1,0
