,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
496,9346717.73,9346717.73,18,,HING WONG HK CHINA FREIGHT SHIPPING,MULTAN HIDE CO PVT LTD,1,0
497,2358430.88,786143.6267,18,547329.8526,HING WONG HK CHINA FREIGHT SHIPPING,YOUSAF TANNERIES,3,0
498,70184.73,70184.73,15,,ESSE INTERNATIONAL,SUSKAN TRADING CORP,1,0
499,168838067.6,7034919.483,16,3072521.882,ESAM TEX SA PO BOX 4294 ZONE L,BHARARA TEXTILES,24,1
500,29610275.17,4230039.31,16,1647898.703,ESAM TEX SA PO BOX 4294 ZONE L,MACHTRADE CORPORATION,7,0
501,12793595.18,6396797.59,35,589104.0237,HOANG CAU TRADE JOINT STOCT COMPANY,AL NOOR INTERNATIONAL,2,0
502,5844830.11,5844830.11,35,,HOANG CAU TRADE JOINT STOCT COMPANY,KOLDKRAFT TONGDA PRIVATE LIMITED,1,0
503,1711809.86,1711809.86,4,,EROS TRADING LTD,AMIL EXPORTS (PVT) LTD,1,0
504,3010257.2,3010257.2,4,,EROS TRADING LTD,HBR TEXTILE INDUSTRIES,1,1
505,13197538.47,6598769.235,1,13697.51395,ENRIQUE FERRERES SANCHEZ SL,DIAMOND FABRICS,2,0
506,24854262.43,6213565.608,1,675110.1967,ENRIQUE FERRERES SANCHEZ SL,MUNAWAR TEXTILES,4,0
507,431794.59,431794.59,6,,ENGLAND,FALCON SURGICAL CO. LTD,1,0
508,497935603.4,9053374.607,15,4981771.66,HOME CHOICE PVT LTD,GOHAR TEXTILE MILLS PVT LTD,55,1
509,6011440.27,3005720.135,15,1537762.363,HOME CHOICE PVT LTD,SADAQAT LIMITED,2,0
510,8338197.32,8338197.32,12,,ENARW SAS,BHARARA TEXTILES,1,0
511,4922298.73,4922298.73,12,,ENARW SAS,INDUS DYEING AND MFG CO LTD.,1,0
512,97619673.3,4648555.871,6,3336997.277,HELMET HOUSE INC,HAYEESONS CORPORATION,21,0
513,14374353.37,3593588.343,6,1035376.897,HELMET HOUSE INC,SIGMA SHOES PRIVATE LIMITED,4,0
514,23394344.48,2339434.448,10,1154541.258,HOODED TOP COMPANY,RAZA APPARELS,10,0
515,19448741.39,1768067.399,10,510436.5055,HOODED TOP COMPANY,SHAFI EXPORTS,11,0
516,2710676.23,1355338.115,21,84496.55213,HADDAD INTERNATIONAL LLC,AL SABAHAT ENTERPRISES,2,0
517,45741831.23,3267273.659,21,1691891.598,HADDAD INTERNATIONAL LLC,AMIL EXPORTS (PVT) LTD,14,1
518,48453421.53,1030923.862,32,3784013.283,H AND M HENNES AND MAURITZ GBC,ARTISTIC FABRIC AND GARMENT IND PVT,47,0
519,7280930.87,1456186.174,32,1453855.064,H AND M HENNES AND MAURITZ GBC,INTERLOOP LIMITED,5,0
520,3886716.9,3886716.9,2,,GALANOS KYRIAKOS,CHAWALA ENTERPRISES,1,0
521,2112565.92,2112565.92,2,,GALANOS KYRIAKOS,EURO PAK TEXTILE IND.,1,0
522,619089705.9,444110.2625,24,500935.8433,GANPATI INTERNATIONAL SCO 4,BESTWAY CEMENT LTD,1394,0
523,2505645.98,313205.7475,24,24316.45072,GANPATI INTERNATIONAL SCO 4,PAKCEM LIMITED,8,0
524,745165.53,745165.53,0,,GARG MINCHEM PRODUCTS,IMPERIAL MINERALS AND STEEL(PVT)LTD,1,0
525,6394493.61,799311.7012,0,232557.6395,GARG MINCHEM PRODUCTS,IMPERIAL STEEL,8,0
526,30282844.65,1376492.939,37,84475.27262,FRUKTTORG LTD,PAK KINNO PROCESSING FACTORY,22,0
527,15513013.5,1410273.955,37,15086.27757,FRUKTTORG LTD,SHAHEEN ENTERPRISES,11,0
528,4270415.69,2135207.845,51,1952315.042,FROST CUTLERY COMPANY,AMAR TRADERS REGD.,2,0
529,1547160.91,1547160.91,51,,FROST CUTLERY COMPANY,M Z ENTERPRISES,1,0
530,21534566.31,7178188.77,21,75011.30571,FRATELLI AMBROSIO SRL,ASPEN TEXTILE PVT LTD,3,0
531,2835608.87,2835608.87,21,,FRATELLI AMBROSIO SRL,MULTIMAT INT,1,0
532,4735297.71,2367648.855,5,79678.76493,GLATZ GMBH AND CO CO KG,GUARD AGRI AND RESEARCH SERVICES,2,0
533,623686.14,623686.14,26,,FOUR FINE TRADING LLC,POPULAR FOOD INDUSTRIES LTD,1,0
534,591584.65,591584.65,26,,FOUR FINE TRADING LLC,POPULAR JUICE IND. (PVT) LTD.,1,0
535,12817730.26,4272576.753,4,2217955.12,GLOBAL SOURCE PTY LTD,ASHAR INTERNATIONAL PVT LTD,3,0
536,19638996.05,4909749.013,4,2986039.501,GLOBAL SOURCE PTY LTD,DIAMOND FABRICS,4,1
537,3026712.15,3026712.15,8,,GOLD FRUIT INTERNATIONAL LLC,AISHA ENTERPRISES,1,0
538,5386446.99,897741.165,8,507031.0285,GOLD FRUIT INTERNATIONAL LLC,DURRANI ASSOCIATES,6,0
539,15700397.11,15700397.11,30,,FOCUS INTERNATIONAL LTD,J.B.INDUSTRIES (GARMENTS DIVISION),1,0
540,132703950.5,5529331.271,30,3660932.684,FOCUS INTERNATIONAL LTD,MULTAN FABRICS PVT LIMITED,24,0
541,6868745.37,3434372.685,21,122487.3772,FLLI ZAMBETTI SRL,MULTIMAT INT,2,0
542,15463291.12,7731645.56,21,1721817.273,FLLI ZAMBETTI SRL,SUNAIR TEXTILES,2,1
543,14140013,4713337.667,5,1950472.535,GOLDEN GRAINS TRADING LLC,  KHAWAJA RICE PROCESSORS,3,0
544,34774809.41,17387404.71,5,15332168.19,GOLDEN GRAINS TRADING LLC,KANWAL TRADING COMPANY PVT LTD,2,0
545,5128358.23,2564179.115,1,3414169.499,HACOT COLOMBIER LUCKY,GULFRAZ FABRICS,2,0
546,4634144.42,4634144.42,1,,HACOT COLOMBIER LUCKY,ZEPHYR TEXTILES LTD.,1,1
547,12427601.47,12427601.47,5,,FLAVOR FULL FOODS INC,BALAJI COMMODITIES,1,0
548,126317407.6,15789675.95,5,4881708.069,FLAVOR FULL FOODS INC,KANWAL TRADING COMPANY PVT LTD,8,0
549,5593148.32,1864382.773,18,1308090.342,FISAP SRL,M.S LEATER COORDINATOR,3,0
550,7509241.88,2503080.627,18,989688.1503,FISAP SRL,MUHAMMAD ASHRAF AND SONS,3,0
551,10921236.96,3640412.32,4,563852.7066,FIRMA DENIX,CHAWALA ENTERPRISES,3,1
552,2853233.06,2853233.06,4,,FIRMA DENIX,HUDABIA TEXTILE,1,0
553,641859756.6,16457942.48,48,6872719.051,GREENSOURCE BRAND APPREAL,NFK EXPORTS (PVT) LTD,39,0
554,689105686.1,17669376.57,48,5836943.332,GREENSOURCE BRAND APPREAL,NFK EXPORTS PVT LTD.,39,0
555,5691057.98,5691057.98,1,,GROTRANS CAMEROUN,ALI TEXTILES,1,0
556,49919781.74,7131397.391,1,576852.0604,GROTRANS CAMEROUN,KAUSAR PROCESSING IND PVT LTD,7,1
557,1927687.03,642562.3433,32,391909.9096,GROUPE BBH INC 4400 HICKMORE ST,SAS AGENCIES PVT LTD,3,0
558,1602627.09,1602627.09,52,,FASHIONS GARMENTS SERVICES PROCESSI,M.YAHYA M.YOUSUF BARI,1,0
559,2589877.16,2589877.16,52,,FASHIONS GARMENTS SERVICES PROCESSI,M/S HAMEED TRADERS,1,0
560,45014821.79,22507410.9,18,1009515.131,GRUPPO MASTROTTO SPA,LEADER TANNERIES,2,0
561,23767590.75,11883795.38,18,1450702.005,GRUPPO MASTROTTO SPA,RIAZ TANNERIES,2,0
562,644763378.2,378382.2642,24,149300.7504,GS CHATHA RICE MILLS,BESTWAY CEMENT LTD,1704,0
563,10968280.69,365609.3563,24,47832.94191,GS CHATHA RICE MILLS,PAKCEM LIMITED,30,0
564,16286685.97,2714447.662,10,931306.2257,FASHION LINK LTD TANEW DIMENSION,ALPHA KNITTING PVT.LTD.,6,0
565,24899625.12,2074968.76,10,1990282.015,FASHION LINK LTD TANEW DIMENSION,M/S WINO TEXTILE,12,0
566,25274404.94,972092.4977,0,321981.5415,GULF QUARRY GENERAL TRADING,IMPERIAL MINERALS AND STEEL(PVT)LTD,26,0
567,21104879.64,727754.4703,0,314477.5068,GULF QUARRY GENERAL TRADING,IMPERIAL STEEL,29,0
568,54148805.92,1746735.675,7,689887.7974,GURPREET SINGH AND BROTHERS,UMAR & COMPANY,31,0
569,46139876.38,5767484.548,12,2344177.437,FALUA REAL SA,UNITED TEXTILE PRINTING IND PVT LTD,8,0
570,6234691.6,6234691.6,12,,FALUA REAL SA,UNITED TEXTILE PRINTING IND.PVT LTD,1,0
571,1588198.41,1588198.41,18,,GOLOBO INTERNATIONAL LTD,LEADER TANNERIES,1,0
572,521380.65,521380.65,18,,GOLOBO INTERNATIONAL LTD,MULTAN HIDE CO PVT LTD,1,0
573,43016366.83,7169394.472,4,4147224.4,KILLARNEY LINEN PTY LTD,KHIZRA FABRICS,6,1
574,16318040.31,2719673.385,4,1678189.847,KILLARNEY LINEN PTY LTD,LIBAZ SOURCING PVT LTD,6,0
575,65716184.89,13143236.98,2,505893.9724,EMHIL SA FNDO DE LA MORA,AL BARKA FABRICS  PVT  LTD,5,0
576,24671283.67,12335641.84,2,623969.9671,EMHIL SA FNDO DE LA MORA,KAUSAR PROCESSING IND PVT LTD,2,0
577,11738411.51,2934602.878,1,2060843.773,ELKOS GROUP,A I TEXTILES,4,1
578,5544276.28,2772138.14,1,189768.8773,ELKOS GROUP,DIAMOND FABRICS,2,0
579,2331674.22,2331674.22,51,,DELTA SA,EDGE MAKER INDUSTRIES,1,0
580,2781116.08,927038.6933,51,558815.837,DELTA SA,M Z ENTERPRISES,3,0
581,15095692,5031897.333,1,1797795.663,DEIRA TRADING CENTER LLC,GULFRAZ FABRICS,3,0
582,27060850.63,3006761.181,1,899511.7983,DEIRA TRADING CENTER LLC,KAMRAN TEXTILES PVT LTD,9,0
583,3438135.36,3438135.36,1,,DEIRA PEARL TRADING CO LLC,ALI TEXTILES,1,0
584,1559739.46,1559739.46,11,,DEEP SONS,HARI OM TRADERS,1,0
585,4079955.56,1359985.187,11,167687.1979,DEEP SONS,M S LAL TRADERS,3,0
586,19444143.92,4861035.98,8,3540847.078,JERRY FABRICS SRO,DIAMOND FABRICS,4,1
587,8156875.52,1631375.104,8,786520.8498,JERRY FABRICS SRO,EUROTEX,5,0
588,1365124.22,1365124.22,1,,DE WITTE LIETAER INTERNATIONAL,LAL INDUSTRIES,1,0
589,1981120.68,1981120.68,1,,DE WITTE LIETAER INTERNATIONAL,MIAN GHOUS BUX PVT.LTD.,1,1
590,68417.49,68417.49,53,,DE NITTIS MICHELE AND C SAS,SHAHBEE LEATHER CORPORATION,1,0
591,58123355.4,8303336.486,14,2905105.76,JILAO COMPANY LTD,EM FOOD,7,0
592,54033232.18,13508308.05,14,6923366.223,JILAO COMPANY LTD,RICECO INDUSTRIES,4,0
593,4919668.77,4919668.77,12,,JIMMY ABOUD,BHARARA TEXTILES,1,0
594,13526329.95,6763164.975,12,1759301.944,JIMMY ABOUD,HOUSETEX INDUSTRIES,2,0
595,9221225.79,9221225.79,6,,JOE ROCKET CANADA,WELL PRODUCTS INDUSTRIES,1,0
596,875205.24,875205.24,8,,DAT SCHUAB FRANCE,MEHAR HUSSAIN and SONS,1,0
597,40841059.81,6806843.302,8,3404452.471,DAT SCHUAB FRANCE,"UNITED CASING CORP, PVT LTD",6,0
598,11258213.02,11258213.02,2,,JSC LOGBYLITA BUDELKIEMIO STR 19,AL BARKA FABRICS  PVT  LTD,1,0
599,5241667.96,5241667.96,2,,JSC LOGBYLITA BUDELKIEMIO STR 19,SHERCOTEX,1,0
600,587208.36,587208.36,10,,JSK FASHION LTD TA GEMINI UNI,AL-MAKKAH EXPORTS,1,0
601,8995215.55,8995215.55,10,,JSK FASHION LTD TA GEMINI UNI,RAZA APPARELS,1,0
602,17498674.04,8749337.02,10,1908543.484,DEMI SPA 10,AZIZ TEXTILES,2,0
603,2741412.11,2741412.11,10,,DEMI SPA 10,HOME & HOTEL TEXTILES PVT LIMITED,1,0
604,6045038.6,3022519.3,54,1270227.756,JUBA PROFESSIONAL PROTECTIVE EQUIP,VITAL PVT LTD,2,0
605,2838114.7,2838114.7,2,,DANDY COMPANY LTD,A I TEXTILES,1,0
606,6484868.35,2161622.783,2,886542.6606,DANDY COMPANY LTD,BULLEH SHAH PACKAGING(PRIVATE) LTD,3,0
607,1415767.54,1415767.54,15,,"DALNOKI SPORT KFT.  2132 GOD, VADVI",COMET SPORTS   PVT  LTD,1,0
608,49786401.26,49786401.26,15,,"DALNOKI SPORT KFT.  2132 GOD, VADVI",i2c PAKISTAN,1,0
609,5033514.02,5033514.02,21,,JYSK SP ZOO METEORYTOWA ST 13 18,M/S WINTEX EXPORTS PVT LTD,1,1
610,31246728.03,7811682.008,21,2599040.893,JYSK SP ZOO METEORYTOWA ST 13 18,WORTHTEX INTERNATIONAL,4,0
611,5491582.67,1830527.557,26,75043.00072,K2 (NORTHWEST) LTD,POPULAR FOOD INDUSTRIES LTD,3,0
612,2253655.8,1126827.9,26,0,K2 (NORTHWEST) LTD,POPULAR JUICE IND. (PVT) LTD.,2,0
613,10092875.89,5046437.945,21,781832.4894,KALINEL EOOD 5600 TROYAN2 LAKARI,A I TEXTILES,2,1
614,12489319.14,6244659.57,21,3093486.172,KALINEL EOOD 5600 TROYAN2 LAKARI,GOHAR TEXTILE MILLS PVT LTD,2,0
615,2486835.79,828945.2633,18,287966.0417,KANGDONG LEATHER CO,UNIVERSAL LEATHER (PVT) LTD,3,0
616,1569389.3,784694.65,18,691785.1207,KANGDONG LEATHER CO,YOUSAF TANNERIES,2,0
617,16893547.04,3378709.408,2,1763820.593,KARAKONSTANTAKI OLGA,CHAWALA ENTERPRISES,5,0
618,25744534.65,5148906.93,2,1844013.1,KARAKONSTANTAKI OLGA,EURO PAK TEXTILE IND.,5,0
619,82784837.25,7525894.295,6,2573901.822,CYCLE GEAR EDC,SIGMA SHOES PRIVATE LIMITED,11,0
620,16524202.64,8262101.32,6,721689.4868,CYCLE GEAR EDC,WELL PRODUCTS INDUSTRIES,2,0
621,457651.56,114412.89,18,43415.51508,CURTIDOS VAZQUEZ SA,M.S LEATER COORDINATOR,4,0
622,6088750.13,1217750.026,18,680287.9115,CURTIDOS VAZQUEZ SA,SIDDIQ LEATHER WORKS PVT LTD,5,0
623,3982330.34,1991165.17,12,56438.50556,CROWN TEXTILES INC,KHIZRA FABRICS,2,0
624,1110568.04,1110568.04,12,,CROWN TEXTILES INC,QAMAR FABRICS PRIVATE LIMITED,1,0
625,5152247.09,5152247.09,13,,CROWN CREST LEICESTER PLC,M/S HAROON CORPORATION,1,0
626,22743498.11,7581166.037,13,1923834.833,CROWN CREST LEICESTER PLC,ZAFAR FABRICS (PVT) LTD,3,0
627,25849369.15,4308228.192,14,1556562.136,CRESCENT COMMERCIAL CO LTD,EM FOOD,6,0
628,3960899.65,3960899.65,14,,CRESCENT COMMERCIAL CO LTD,EMF ENTERPRISES,1,0
629,1987837.95,1987837.95,6,,KHAWAJA AND CO,SMZ APPAREL PVT LTD,1,1
630,117923.85,117923.85,6,,KHAWAJA AND CO,TOWNE BROTHERS LTD,1,0
631,4714467.48,2357233.74,21,34898.06725,DANNY APPAREL LTD,COSY INTERNATIONAL PVT LTD,2,0
632,2309363.54,2309363.54,21,,DANNY APPAREL LTD,SAIMI EXPORTS,1,0
633,24786088.04,8262029.347,2,4329862.227,ELVIA LUVINA ELIZALDE SANCHEZ,AL BARKA FABRICS  PVT  LTD,3,0
634,23468014.91,11734007.46,2,136897.0113,ELVIA LUVINA ELIZALDE SANCHEZ,KAUSAR PROCESSING IND PVT LTD,2,0
635,262053,262053,55,,JAYALANKA TRADING (PVT) LTD,ANSARI AND CO,1,0
636,6437824.6,804728.075,55,5793.718814,JAYALANKA TRADING (PVT) LTD,AYAN CITRUS PRIVATE LIMITED,8,0
637,2839670.72,2839670.72,4,,DENIM FACTORYS SHPK,HUDABIA TEXTILE,1,0
638,8581921.29,8581921.29,4,,DENIM FACTORYS SHPK,KAMAL LIMITED,1,0
639,22253048.1,11126524.05,2,39412.44907,HV INTERNATIONAL LTD,M/S WINTEX EXPORTS PVT LTD,2,0
640,5794526.42,5794526.42,2,,HV INTERNATIONAL LTD,WINTEX EXPORTS PVT LTD,1,0
641,26420691.85,978544.1426,56,50085.27092,EASTMAN RECLAMATIONS,HAJI INAM ELLAHI & SONS,27,0
642,1885146.39,942573.195,56,9961.69912,EASTMAN RECLAMATIONS,ZUBAIR & SONS,2,0
643,10609530.17,10609530.17,2,,IMPERIAL ARTS GENERAL TRADING,IQRA TEX,1,0
644,67838281.7,9691183.1,2,4311118.511,IMPERIAL ARTS GENERAL TRADING,THE CRESCENT TEXTILE MILLS LTD,7,0
645,19634166.93,6544722.31,4,287757.7272,IMPORT Y EXPORT ROOMI TEX,BHARARA TEXTILES,3,1
646,72893516.77,6074459.731,4,788387.9151,IMPORT Y EXPORT ROOMI TEX,HUDABIA TEXTILE,12,0
647,4184776.77,4184776.77,6,,IMPORTADORA Y COMERCIALIZADORA,NEELUM FABRICS,1,0
648,1472490.48,736245.24,6,406683.3859,IMPORTADORA Y COMERCIALIZADORA,PAK TEXTILES TRADER,2,0
649,4099038.27,4099038.27,8,,INBRANDS S/A,COSY INTERNATIONAL PVT LTD,1,1
650,10291540.38,10291540.38,8,,INBRANDS S/A,Feroze 1888 Mill Limited,1,0
651,34665395.98,6933079.196,15,626300.1488,INDUSTRIA DE FIBRAS,M/S MARJAN INTERNATIONAL,5,0
652,16352987.71,5450995.903,15,347485.9901,INDUSTRIA DE FIBRAS,SADAQAT LIMITED,3,0
653,1839612.06,1839612.06,15,,DUNNES STORES,ARUJ INDUSTRIES LIMITED,1,0
654,9086979.18,9086979.18,15,,DUNNES STORES,COTTON WEB PVT LTD,1,1
655,2354311.07,1177155.535,1,425137.0557,DUESSE SRL,A I TEXTILES,2,1
656,4392800.97,4392800.97,1,,DUESSE SRL,ROMEX INTERNATIONAL,1,0
657,876305.23,876305.23,12,,INTEGRAL SERVICES CO WILL,G TEX INTERNATIONAL,1,0
658,12591316.46,1798759.494,12,1980961.086,INTEGRAL SERVICES CO WILL,KHIZRA FABRICS,7,0
659,1494919.07,1494919.07,2,,INTER COMMERCE FZE,A I TEXTILES,1,0
660,4584423.32,1528141.107,2,733494.4854,INTER COMMERCE FZE,NIMRA TEXTILE  PVT  LTD,3,0
661,778182,778182,57,,INTER FREIGHT IMPORTS,K E N EXPORTER   GENERAL ORDER SUPP,1,0
662,2097042.25,2097042.25,58,,INTERCLOTHNIG,PUNJAB TEXTILE,1,0
663,7433500.22,1858375.055,32,1412586.094,JAYA LEATHER CRAFT,BUMA INTERNATIONAL,4,0
664,4265162.05,1421720.683,32,1000061.869,JAYA LEATHER CRAFT,KOSHAL INDUSTRIES.,3,0
665,11836323.95,5918161.975,12,154991.8738,INTERFIOS FIOS E MALHAS LDA,AHMED FINE TEXTILE MILLS LTD.,2,0
666,5080884.82,5080884.82,12,,INTERFIOS FIOS E MALHAS LDA,INDUS LYALLPUR LIMITED,1,0
667,81331785.05,8133178.505,10,3198756.035,INTERSCALIT UAB,FAIZAN SHAHZAD PVT LIMITED,10,0
668,79879886.88,4698816.875,10,1566429.686,INTERSCALIT UAB,SKY INDUSTRIES,17,0
669,5760196.94,960032.8233,3,331558.1328,INTERSPORT AB,INTER MARKET KNIT PVT LTD,6,0
670,53300710.9,7614387.271,3,7707500.088,INTERSPORT AB,PEAK GARMENTS PVT LTD,7,0
671,1005939852,10059398.52,18,10588545.2,DONDERS BV,M S A R YOUSAF,100,0
672,886425.82,443212.91,18,7934.148207,DONDERS BV,M.S LEATER COORDINATOR,2,0
673,4054522.8,1351507.6,2,244160.6458,INTERWEAVE TEXTILE AUSTRALIA,CHAWALA ENTERPRISES,3,0
674,3050247.66,1525123.83,2,841372.9239,INTERWEAVE TEXTILE AUSTRALIA,M S WAQAS WEAVING FACTORY,2,0
675,4151724.55,4151724.55,32,,DOBOTEX BV,INTERLOOP LIMITED,1,0
676,257671854.4,6964104.172,32,7233792.775,DOBOTEX BV,MASOOD TEXTILE MILLS LIMITED,37,0
677,39194575.39,7838915.078,12,3455855.75,DMC SAS 13 RUE DE PFASTATT,SAPPHIRE FIBRE LTD (UNIT-3),5,0
678,33972708.16,4853244.023,12,1588198.265,DMC SAS 13 RUE DE PFASTATT,SAPPHIRE FIBRES LTD. UNIT 1&2.,7,0
679,8659069.69,8659069.69,12,,DINTEX POSTBUS 4 1777 ZG,QAMAR FABRICS PRIVATE LIMITED,1,0
680,6302195.41,6302195.41,12,,DINTEX POSTBUS 4 1777 ZG,THE CRESCENT TEXTILE MILLS LTD,1,1
681,70465.24,70465.24,15,,ITALY,SUSKAN TRADING CORP,1,0
682,913548.2,913548.2,15,,ITALY,Y.Z.CORPORATION.,1,0
683,7085913.12,7085913.12,1,,DHEDI ABDUL AHAD,ALI TEXTILES,1,0
684,166700.3,166700.3,18,,DEVON LEATHER TRADING LTD,M.S LEATER COORDINATOR,1,0
685,667459.47,667459.47,18,,DEVON LEATHER TRADING LTD,MULTAN HIDE CO PVT LTD,1,0
686,104821165.6,3743613.058,2,892275.3298,JAMES WALKER TEXTILES LTD,AL REHMAT TRADERS PVT LTD,28,0
687,3978973.77,3978973.77,2,,JAMES WALKER TEXTILES LTD,KAUSAR PROCESSING IND PVT LTD,1,0
688,35208021.21,7041604.242,8,3848277.562,DERBYSTAR SPORTARTIKELFABRIK GMBH,ANWAR KHAWAJA IND PVT LTD,5,1
689,11087790.05,3695930.017,8,5558541.714,DERBYSTAR SPORTARTIKELFABRIK GMBH,ANWAR KHAWAJA INDUSTRIES LTD,3,0
690,507334.61,253667.305,6,134898.0063,JAPAN,HILBRO INTT PVT LTD,2,0
691,7246201.5,3623100.75,35,112249.963,INTERNATIONAL NORTHERN STAR CO LTD,AL NOOR INTERNATIONAL,2,0
692,29735215.78,7433803.945,2,2324836.403,NESSTRA SERVICES UK LTD,M/S WINTEX EXPORTS PVT LTD,4,0
693,4641600.5,4641600.5,2,,NESSTRA SERVICES UK LTD,WINTEX EXPORTS PVT LTD,1,0
694,20930373.32,5232593.33,2,925310.788,HANES INDUSTRIES LTD,KAUSAR PROCESSING IND PVT LTD,4,0
695,9702758.65,9702758.65,2,,HANES INDUSTRIES LTD,WAQAS TEXTILE,1,0
696,6450657.58,3225328.79,12,3254695.502,ANGELO CARILLLO AND C SPA VIA,ANWAAR TEXTILE,2,0
697,70627067.85,6420642.532,12,3385746.237,ANGELO CARILLLO AND C SPA VIA,UNITED TEXTILE PRINTING IND PVT LTD,11,0
698,1562699.61,781349.805,2,85989.32526,RTC GROUP LTD,AL BARKA FABRICS  PVT  LTD,2,0
699,821466.51,410733.255,2,25780.42735,RTC GROUP LTD,CHAWALA ENTERPRISES,2,0
700,97483716,32494572,14,0, SWEET FA YAN INDUSTRY LTD,KAFI COMMODITIES PVT LTD,3,0
701,3594975.13,3594975.13,2,, MAJESTIC FABRICS 1920 NAOMI AV,SHERCOTEX,1,0
702,4824853.8,4824853.8,2,, MAJESTIC FABRICS 1920 NAOMI AV,WAQAS TEXTILE,1,0
703,24558540.08,4093090.013,18,3292548.508, SUPERIOR LEATHER LTD,MULTAN HIDE CO PVT LTD,6,0
704,400291.2,200145.6,18,47970.32203, SUPERIOR LEATHER LTD,YOUSAF TANNERIES,2,0
705,2246315.23,2246315.23,1,, STILE 24 SRL,HBR TEXTILE INDUSTRIES,1,0
706,5591749.8,2795874.9,1,168518.7346, STILE 24 SRL,MALIK TEXTILES,2,0
707,2081052.92,2081052.92,8,,S A S CBRADE,MUSTAFA & CO.,1,0
708,2624493.66,2624493.66,8,,S A S CBRADE,MUSTAFA AND COMPANY PVT LTD,1,0
709,3683312.15,3683312.15,14,, STE SAWAGHAYHA ( S A R L ),EM FOOD,1,0
710,4509932.13,2254966.065,14,74.12600387, STE SAWAGHAYHA ( S A R L ),EMF ENTERPRISES,2,0
711,30067961.22,10022653.74,9,1966859.794,SA BORDE LES GARDELLES BP4,FAZAL   CO,3,0
712,20440134,20440134,9,,SA BORDE LES GARDELLES BP4,M. HUSSAIN & CO.,1,0
713,3096344.87,1548172.435,8,300978.1983,SAAD ADEL SAAD AL ALWANI EST,DURRANI ASSOCIATES,2,0
714,459368.43,459368.43,8,,SAAD ADEL SAAD AL ALWANI EST,MUHAMMAD DIN MUHAMMAD SHARIF & CO,1,0
715,24056465.4,8018821.8,9,6585616.607,SABAROT WASSNER LA COMBE,FAZAL   CO,3,0
716,44398067.47,11099516.87,9,5579632.77,SABAROT WASSNER LA COMBE,M. HUSSAIN & CO.,4,0
717,11850246.31,1481280.789,11,113895.9411, SRI RAMPAT MALL AJAY KUMAR,M/S NEW RAJA COMMISSION SHOP,8,0
718,2398309.06,1199154.53,11,169586.0557, SRI RAMPAT MALL AJAY KUMAR,SOOFI TRADERS,2,0
719,4348261.15,4348261.15,18,, SONG SHIN HK GROUP CO LTD,MULTAN HIDE CO PVT LTD,1,0
720,3755061.21,938765.3025,18,935726.1415, SONG SHIN HK GROUP CO LTD,YOUSAF TANNERIES,4,0
721,579556.41,579556.41,27,, SOMANI CREATION,ENGLISH LEATHER GARMENTS,1,0
722,1012918.7,1012918.7,27,, SOMANI CREATION,M  SAJJAD AND  COMPANY,1,0
723,1000832.82,1000832.82,11,,SAI INTERNATIONAL,M/S NEW RAJA COMMISSION SHOP,1,0
724,1000832.82,1000832.82,11,,SAI INTERNATIONAL,RAJESH KUMAR BROKER,1,0
725,3990518.49,1995259.245,1,179765.5862,SALVATORE NOVELLINO,LAL INDUSTRIES,2,0
726,10506468.63,5253234.315,1,3236680.224,SALVATORE NOVELLINO,MUNAWAR TEXTILES,2,0
727,5731099.11,5731099.11,14,, SIDDIQ AHMED TRADING CO LTD,BABA ENTERPRISES,1,0
728,2509000.24,2509000.24,14,, SIDDIQ AHMED TRADING CO LTD,FAIR EXPORT DEAL,1,0
729,3912346.47,1956173.235,11,579023.7287, SHIV SAKHI OVERSEAS,SAKHI TRADING & CO,2,0
730,12920621.7,2584124.34,11,545501.7761, SHIV SAKHI OVERSEAS,VIJAY KUMAR & CO,5,0
731,4640224.89,1546741.63,11,0,SANJAY ENTERPRISES,HARI OM TRADERS,3,0
732,1364772.02,1364772.02,11,,SANJAY ENTERPRISES,VIJAY KUMAR & CO,1,0
733,4070437.79,1356812.597,10,683461.9807,SANJEEV 1979 LTD,RAZA APPARELS,3,0
734,1732841.19,433210.2975,59,294553.7184,SANJMED MEDICAL DISTRUBUTORS,ELTEK INSTRUMENT PRIVATE LIMITED,4,0
735,612973.41,612973.41,59,,SANJMED MEDICAL DISTRUBUTORS,MAQ SURGICAL,1,0
736,9008816.75,4504408.375,60,1143178.579,SARHAN MOHAMMAD HASSAN,AAMER HOSIERY,2,0
737,934143.47,934143.47,61,,ROYAL GULF,ALFARID CORPORATION,1,0
738,3144636,1572318,61,0,ROYAL GULF,SQ PROFESSIONAL,2,0
739,95894252.1,7376480.931,21,3433456.432, TEPPICH KIBEK GMBH,AFROZE TEXTILE INDUSTRIES (PVT.) LT,13,0
740,2174548.4,2174548.4,21,, TEPPICH KIBEK GMBH,DIAMOND FABRICS,1,1
741,363546.79,363546.79,4,, TESS S R L,HBR TEXTILE INDUSTRIES,1,1
742,1683087,1683087,4,, TESS S R L,HUSSAIN HOME TEXTILE,1,0
743,19090564.19,3818112.838,2,2913827.692,ROSHAN ALI KHAN EMAMDEEN,M/S WINTEX EXPORTS PVT LTD,5,0
744,757380.34,757380.34,2,,ROSHAN ALI KHAN EMAMDEEN,WINTEX EXPORTS PVT LTD,1,0
