Community_ID,Drawee,Exporter,Frequency,Linkage,Amount,Average,Deviation
3,UNITED KINGDOM,TASHAHID SPORTS,1,1,171674.87,171674.87,
3,PHILIPPINES,AL RIAZ   CO PAK LTD,1,0,1757851.52,1757851.52,
3,PHILIPPINES,BUSA SPORTS,1,0,51371.61,51371.61,
3,PHILIPPINES,MASOOD TEXTILE MILLS LIMITED,7,1,25569292.14,3652756.02,2882052.266
3,PHILIPPINES,SURDENT IMPEX,2,0,161980.21,80990.105,57094.46731
3,PHILIPPINES,ZARYAB INSTRUMENTS,1,0,40408.57,40408.57,
3,SWITZERLAND,BASEL INTERNATIONAL,1,0,178410.07,178410.07,
3,SWITZERLAND,HAND GUARD INTERNATIONAL,1,0,199369.92,199369.92,
3,SWITZERLAND,M S LASQUE TRADING CORPORATION,3,0,299207.99,99735.99667,2527.307923
3,SWITZERLAND,MAQ SURGICAL,1,0,229236.45,229236.45,
3,SWITZERLAND,MARTAGON ENTERPRISES,1,0,134804.05,134804.05,
3,MALAYSIA,ARTISTIC FABRIC AND  GARMENT INDUST,4,1,148584.04,37146.01,52450.21378
3,MALAYSIA,DAGGER INTERNATIONAL,1,0,54821.49,54821.49,
3,MALAYSIA,FIDA HUSSIAN INDUSTRIES,1,0,825152.49,825152.49,
3,MALAYSIA,HILBRO PVT LTD,1,1,229558.43,229558.43,
3,MALAYSIA,SHEIKHAN INTIL PVT LTD,1,1,385742.02,385742.02,
3,MALAYSIA,WILLS & CO,2,0,227902.25,113951.125,94443.42322
3,ASANUS MEDIZINTECHNIK GMBH,ALIBRO ENGINEERING CO,9,0,1415773.51,157308.1678,51713.77632
3,ASANUS MEDIZINTECHNIK GMBH,HENCKEL SURGICAL CO,5,0,529986.54,105997.308,91137.46872
3,ASANUS MEDIZINTECHNIK GMBH,M.A.ARAIN   BROTHERS PVT LTD,1,1,115830.05,115830.05,
3,ASANUS MEDIZINTECHNIK GMBH,PAKISTAN MACHINE TOOS PVT LTD,16,1,2071190.04,129449.3775,80945.39994
3,ASANUS MEDIZINTECHNIK GMBH,TOWNE BROTHERS LTD,4,1,2338699.89,584674.9725,384714.8708
3,ENGLAND,A-ONE SURGICO(PRIVATE)LIMITED,1,1,1211156.56,1211156.56,
3,ENGLAND,FALCON SURGICAL CO. LTD,2,1,101257.28,50628.64,0
3,ENGLAND,JAFFSON ENTERPRISES PVT LTD,1,1,508900.77,508900.77,
3,ENGLAND,LEGEND INDUSTRIES,1,0,419524.65,419524.65,
3,ENGLAND,MEDICARE INDUTRIES,1,0,61702.37,61702.37,
3,ENGLAND,PRAISE CORPORATION,1,0,59002.99,59002.99,
3,ENGLAND,RUMSIZ INDUSTRIES,1,0,109289.63,109289.63,
3,BELGIUM,ANWAR KHAWAJA INDUSTRIES LTD,4,1,17342752.86,4335688.215,3352002.192
3,BELGIUM,BURAQ SURGICAL CORPORATIPN,1,1,1103452.77,1103452.77,
3,BELGIUM,INTER UNION INDUSTRIES,5,1,10141272.41,2028254.482,793494.1772
3,BELGIUM,NAZIR ALAM & SONS,2,0,176885.78,88442.89,4632.482798
