Amount,Applicant,Average,Beneficiary,Community_ID,Deviation,Frequency,Linkage
10198159.37,NAYAB INTERNATIONAL CHAK NO 279 RAB IQBAL SHAHEED CHOWK HOUSE NO P-394 STREET NO 1 FAISALABAD,10198159.37,WENZHOU VOOETE INDUSTRY CO LTD CHINA ,3,,1,0
8051735.66,M S CHEMOFLOR AGENCIES M S FEROZE CHAMBERS 145 MATTIOT RD KARACHI PK,1006466.958,JIAXING SUNLONG INDUSTRIAL AND TRADING CO LTD 39 KAI XI ROAD JIAXING ZHEJIANG CHINA,19,497719.7905,8,0
995801.4,M S CHEMOFLOR AGENCIES M S FEROZE CHAMBERS 145 MATTIOT RD KARACHI PK,995801.4,WUXI KIMRISE INTERNATIONAL CORP ROOM 10171018 BUILDING NO15 COLUMBUS PLAZA NO311 GUANGNAN RD WUXI JIANGSU CHINA,19,,1,0
942604.64,M S CHEMOFLOR AGENCIES M S FEROZE CHAMBERS 145 MATTIOT RD KARACHI PK,942604.64,ZHEJIANG NEWFINE INDUSTRY CO LTD NO 225 DONGQING ROAD JIAXINGZHEJIANGPR OF CHINA ,19,,1,0
2033531.28,McOLSON RESEARCH LABORATORIES PVT L 194 - B B.O.R SOCIETY MASJID CHOWK JOHAR TOWN LAHORE,677843.76,SPANSULES FORMULATIONS PLOT NO154A4IDA BOLLARAM MEDA ,32,293514.958,3,0
3483092.44,"INTEGRATED SYSTEMS PVT LTD 47-A,BLOCK- 6 P.E.C.H.S. KARACHI PAKISTAN ",1161030.813,CEDIT SRL VIA TORINO 79 10040 DRUENTO TO ITALY,70,28633.66351,3,0
2984674.28,"INTEGRATED SYSTEMS PVT LTD 47-A,BLOCK- 6 P.E.C.H.S. KARACHI PAKISTAN ",1492337.14,COSTRUZION ELETTRONICHE DIVERSIFCATE TORINO VIA GVA VERRAZZANO44 10042 NICHELINO TO ITALY,70,1031439.267,2,0
6541576.63,"INTEGRATED SYSTEMS PVT LTD 47-A,BLOCK- 6 P.E.C.H.S. KARACHI PAKISTAN ",2180525.543,HUAYI INTERNATIONAL POWER CO LTD NO 228 CENTRAL AVENUE ECONOMIC DEVELOPMENT ZONE YUEQING CITY ZHEJIANG PRO CHINA,70,1678392.723,3,0
17521317.46,"INTEGRATED SYSTEMS PVT LTD 47-A,BLOCK- 6 P.E.C.H.S. KARACHI PAKISTAN ",1251522.676,SHENZHEN WOER HEATSHRINKABLE MATERIAL CO LTD WOER INDUSTRIAL PARK LANJING NORTH RD PINGSHAN SHENZHEN CHINA,70,1343167.366,14,0
37913331.19,"INTEGRATED SYSTEMS PVT LTD 47-A,BLOCK- 6 P.E.C.H.S. KARACHI PAKISTAN ",5416190.17,ZHEJIANG HUAYI IMPORT AND EXPORT CO LTD 178 NINGKANG EAST ROAD YUEQING ZHEJIANG CHINA,70,5889058.79,7,0
628775.21,"EXCEL INTERNATIONAL VENTURS 86-A , NEW MUSLIM TOWN LAHORE. ",628775.21,FOSHAN CHAN CHENG JINYI CERAMICS CO GONGYE AVENUE NANZHUANG TOWN FOSHAN ,11,,1,0
1804496.96,"EXCEL INTERNATIONAL VENTURS 86-A , NEW MUSLIM TOWN LAHORE. ",1804496.96,FOSHAN STONE LIMITED HONGKONG ,11,,1,0
19479670.98,"EXCEL INTERNATIONAL VENTURS 86-A , NEW MUSLIM TOWN LAHORE. ",2782810.14,SHENZHEN ONETOUCH BUSINESS SERVICE LTD 6F HONG CHANG PLAZA 2001 SHEN NAN ROAD EAST SHENZHEN CITY CHINA,11,1267096.179,7,0
6687584.18,"HAQ BAHU STEEL MILLS HAQ BAHU STEEL MILLS, NEAR GRID STATION,AWAN CHOWK, GUJRANWALA.   03006400601",2229194.727,GREENLAND AMERICA INC 1905 WOODSTOCK RD SUITE 2200 ROSWEELL GA 30075 USA ,111,146365.458,3,0
1426406.89,"HAQ BAHU STEEL MILLS HAQ BAHU STEEL MILLS, NEAR GRID STATION,AWAN CHOWK, GUJRANWALA.   03006400601",713203.445,PAN AMERICAN METAL LTD UNIT C 5F QUEENS CENTRE 5864 QUEENS ROAD EAST WANCHAI HONGKONG,111,473773.642,2,0
1509047.92,"HAQ BAHU STEEL MILLS HAQ BAHU STEEL MILLS, NEAR GRID STATION,AWAN CHOWK, GUJRANWALA.   03006400601",1509047.92,S SACKERS CLAYDON LTD RAILWAY SIDINGS GIPPING RD GREAT BLAKENHAM NR IPSWICH SUFFOLK IP6 OJB,111,,1,0
1045050.59,"HAQ BAHU STEEL MILLS HAQ BAHU STEEL MILLS, NEAR GRID STATION,AWAN CHOWK, GUJRANWALA.   03006400601",1045050.59,UNIVERSAL METALS INC 98 CUTTER MILL RD SUITE 428 N GREAT NECK NY11021 USA ,111,,1,0
194218484.5,CHEEMA ENTERPRISES CHEEMA ENTERPRISES CHEEMA MARKET KHIALI BYE-PASS GUJRANWALA ,11424616.74,ACM CO LTD 5551 AAMDAERO YEOUNSUGU INCHEON KOREA ,68,2644409.088,17,0
11006226,CHEEMA ENTERPRISES CHEEMA ENTERPRISES CHEEMA MARKET KHIALI BYE-PASS GUJRANWALA ,11006226,ALI TRADING CO LTD 367 JEONGWANGCHEONRO SIHEUNGGI ,68,,1,0
2244116,CHEEMA ENTERPRISES CHEEMA ENTERPRISES CHEEMA MARKET KHIALI BYE-PASS GUJRANWALA ,561029,ARIEAS LOGISTICS BV ROTTERDAM CITY CENTRE WEENAZUID130 RTH FLOOR 3012 NC ROTTERDAM NL,68,129564.0977,4,0
7337484,CHEEMA ENTERPRISES CHEEMA ENTERPRISES CHEEMA MARKET KHIALI BYE-PASS GUJRANWALA ,7337484,ZOHAIB TRADING CO LTD 803 50 BEODEUNARURO YEONGDEUNGPOGU SEOUL KOREA,68,,1,0
7866158.1,"ZAIN ENTERPRISES M-1, KHADIJA ARCADE, 8-MANYA SOCIETY, KARACHI, PAKISTAN. ",3933079.05,YAAQOUB HAMDAN FOOD STUFF TRADING CO LLC 203 2ND FLOOR AL FAHIM BUILDING POBOX NO: 64561 AL RAS DELRA,133,0,2,0
5031417.6,TEXTILE INDUSTRIES H # 675/336 FATIMA JINNAH COLONY JAMSHED ROAD 3 KARACHI,5031417.6,3M GULF LTD PO BOX 20191 DUBAI UAE ,3,,1,1
62824397.54,TEXTILE INDUSTRIES H # 675/336 FATIMA JINNAH COLONY JAMSHED ROAD 3 KARACHI,20941465.85,AMERICAN SILK GENERAL TRADING LLC UAE ,3,4458197.15,3,0
21194060.48,TEXTILE INDUSTRIES H # 675/336 FATIMA JINNAH COLONY JAMSHED ROAD 3 KARACHI,21194060.48,GINZA GENERAL TRADING LLC AL SOUQ BUR DUBAI UAE ,3,,1,0
162188354.3,TEXTILE INDUSTRIES H # 675/336 FATIMA JINNAH COLONY JAMSHED ROAD 3 KARACHI,20273544.29,LONDON SILK GENERAL TRADING (Multiple),3,10136956.47,8,0
29111153.31,TEXTILE INDUSTRIES H # 675/336 FATIMA JINNAH COLONY JAMSHED ROAD 3 KARACHI,29111153.31,SHAOXING COUNTY DUOFU IMP AND EXP CO LTD CHINA ,3,,1,0
7518233.48,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,2506077.827,HANGZHOU ANYSEW GARMENT EQUIPMENT CO LTD CHINA ,7,1382278.27,3,0
2694245.51,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,1347122.755,HEBEI ZANGYUAN TRADING CO LTD RM 405 OFFICE BLDG BEIFANG AUTO PARTS CITY NO88 NORTH OURTER RING CHANG AN DIST HEBEI CHINA,7,27887.56313,2,0
2832268.82,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,1416134.41,HUNAN MEC MACHINERY AND ELECTRONICS IMP AND EXP CORP CHINA ,7,816799.9875,2,0
4862516.06,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,4862516.06,QUANZHOU WELLDONE IMP AND EXP TRADE CO LTD 2403 1ST BUILDING HUIJINGCHENG MEILIN SHUANGGOU JINJIANG CITY,7,,1,0
2698097.69,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,2698097.69,SHANDONG XINYA IMPORT AND EXPOR CO NO1 MIDDLE CHANGJIANG ROAD ECONOMI ,7,,1,0
3172471.27,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,3172471.27,TIAZHOU PINGUAN IMPORT AND EXPORT CO LTD CHINA ,7,,1,0
2117280.27,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,2117280.27,URUMQI CHANGYIHUI TRADE CO LTD NO47 HETAN NORTH ROAD URUMQI XINJ ,7,,1,0
9323774.46,MEHERBAAN TRADING SHOP NO 06 STREET NO 40 ABBOT ROAD LAHORE ,3107924.82,WENZHOU FAMOUS TRADE CO LTD CHINA ,7,1755283.758,3,0
963437.85,"A.H SONS E-10 NAVEED BUNGALOWS GULISTAN E JOHAR BLOCK 17 KARACHI, PAKISTAN",481718.925,ENDOFOM PROTEZ SUNGER SAN VE SAIM CIKRIKCI CAD NO78 KISIKKOY MENDERESIZMIR TURKEY,145,66059.25193,2,0
4870823.13,"A.H SONS E-10 NAVEED BUNGALOWS GULISTAN E JOHAR BLOCK 17 KARACHI, PAKISTAN",1217705.783,FUJIAN FUXING INDUSTRIAL IMP AND EXP CORP 2F MACHINERY BUILDING NO 1 SHENG FU ROAD FUZHOU FUJIANCHINA,145,801415.1822,4,0
455814.99,"A.H SONS E-10 NAVEED BUNGALOWS GULISTAN E JOHAR BLOCK 17 KARACHI, PAKISTAN",455814.99,ORTPAR ORTOPEDI IKITELLIOSBMAHMARMARA SANSIT L BLOCK NO 6 IKITELLI ISTANBUL TURKEY,145,,1,0
2588685.43,"A.H SONS E-10 NAVEED BUNGALOWS GULISTAN E JOHAR BLOCK 17 KARACHI, PAKISTAN",647171.3575,OTTO BOCK HEALTH CARE GMBH MAXNAEDER STREET 15 37115 DUDERSTADT GERMANY,145,347222.575,4,0
1866655.93,"A.H SONS E-10 NAVEED BUNGALOWS GULISTAN E JOHAR BLOCK 17 KARACHI, PAKISTAN",933327.965,RAVEN INTERNATIONAL 930 S ANDREASEN SUITE I ESCONDIDO CA 92029 USA ,145,80197.59746,2,0
800476.18,"A.H SONS E-10 NAVEED BUNGALOWS GULISTAN E JOHAR BLOCK 17 KARACHI, PAKISTAN",800476.18,SIMONA AG TEICHWEG 16 D 55606 KIRN GERMANY,145,,1,0
73782.05,"A.H SONS E-10 NAVEED BUNGALOWS GULISTAN E JOHAR BLOCK 17 KARACHI, PAKISTAN",73782.05,THUASNE DEUTCHLAND GMBH AM WIENKAMO 12 D30938 BURGWEDEL IM STEINKAMP 12 GERMANY ,145,,1,0
2277240.57,RANGWALA CHEM BIZ HOUSE NO 1 C  ALHAMRA TOWN 19RB EAST CANAL ROAD RAINBOW CENTER FAISALABAD,284655.0713,J D UDYOG RIZE177 NIHAL VIHAR DELHI110041 INDIA ,61,67930.9991,8,0
4336977.15,RANGWALA CHEM BIZ HOUSE NO 1 C  ALHAMRA TOWN 19RB EAST CANAL ROAD RAINBOW CENTER FAISALABAD,867395.43,MN GLOBEX PVT LTD 412A CITY CENTRE 570 MG RD INDORE452001 MP INDIA ,61,249817.7515,5,0
628927.2,RANGWALA CHEM BIZ HOUSE NO 1 C  ALHAMRA TOWN 19RB EAST CANAL ROAD RAINBOW CENTER FAISALABAD,628927.2,VARDHMAN CHEMICALS C158 GIDC PHASEIIVATWA AHMEDABAD INDIA ,61,,1,0
2756395.04,AL JASIM TRADERS AL JASIM TRADERS AL SIDDIQUE CENTRE 30 HALL ROAD LAHORE,551279.008,JINOHU HK ELECTRONICS CO LTD HONG KONG ,17,31314.94684,5,0
1319174.8,AL JASIM TRADERS AL JASIM TRADERS AL SIDDIQUE CENTRE 30 HALL ROAD LAHORE,1319174.8,ZAFAR SONS TRADE INTERNATIONAL HK LIMITED RM 150415F KWONG FAT COMM BLDG 528588 CANTON ROAD YAU MA TEI KOWLOON HONG KONG,17,,1,0
