Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
2395788,2395788,16,,ANOOR ENTERPRISE,NOOR MACHINERY CORPORATION,1,0
41508798.05,8301759.61,3,3945204.533,SWING JEANS SRL,KOHINOOR MILLS LTD,5,0
61521896.32,5126824.693,12,2227852.391,SWEETHOME,MA Haq Textile,12,0
59655198.03,4971266.503,12,2597699.166,SWEETHOME,SNA TEXTILES PVT LTD,12,0
22441608.17,11220804.09,5,8723854.302,TEJIDOS FORES SL,ARSHAD CORPORATION PVT LTD,2,0
10342028,10342028,5,,TEJIDOS FORES SL,KB ENTERPRISES,1,0
13938350,13938350,5,,ARSHAD CORPORATION PVT LTD,PETROCOAL SYNERGIES PVT LTD,1,1
12840487,4280162.333,5,244898.9167,ARSHAD CORPORATION PVT LTD,TITAN ENTERPRISES,3,1
18148343,9074171.5,5,1309344.677,ARSHAD CORPORATION PVT LTD,ZEPHYR TEXTILES LIMITED,2,1
56993263.44,14248315.86,5,3062389.463,ALBAZUL SERVICIOS INTEGRALES SA,HUMA TEXTILES,4,0
112132054.2,28033013.55,0,24212552.21,RESTMOR LTD,AFROZE TEXTILE INDUSTRIES PVT LTD,4,0
34597649,17298824.5,0,9216757.176,RESTMOR LTD,ZEPHYR TEXTILES LIMITED,2,1
21492899.78,21492899.78,1,,YIBIN HIEST FIBRE LIMITED,INDUS LYALLPUR LIMITED,1,0
11307097.85,11307097.85,1,,YIBIN HIEST FIBRE LIMITED,NAGINA COTTON MILLS LTD,1,0
44115288,8823057.6,1,3214642.022,TARGET FINE-WEAR INDUSTRIES LTD,DIN TEXTILE MILLS LIMITED,5,0
34548375.22,4935482.174,1,3192392.179,TARGET FINE-WEAR INDUSTRIES LTD,SAPPHIRE TEXTILE MILLS LIMITED,7,0
44212499.39,22106249.7,1,3184987.126,ZHEJIANG MATERIALS INDUSTRY,INDUS DYEING & MFG CO LTD,2,0
34870325,17435162.5,1,429565.2483,ZHEJIANG MATERIALS INDUSTRY,MAHMOOD TEXTILE MILLS LTD,2,0
335110729,11968240.32,2,11524202.29,RHODI SUPPLIERS LTD,COSY INTERNATIONAL PVT LTD,28,0
1084795,1084795,2,,RHODI SUPPLIERS LTD,EASTERN GARMENT PVT LTD,1,1
1542294,1542294,2,,COSY INTERNATIONAL PVT LTD,AL NASR TEXTILES LIMITED,1,1
805376,805376,2,,COSY INTERNATIONAL PVT LTD,BHANERO TEXTILE MILLS LIMITED,1,1
2977000,2977000,2,,COSY INTERNATIONAL PVT LTD,DIN TEXTILE MILLS LIMITED,1,1
2884000,2884000,2,,COSY INTERNATIONAL PVT LTD,HAH TRADERS,1,0
7064208,3532104,2,3193441.302,COSY INTERNATIONAL PVT LTD,ZAHIDJEE TEXTILE MILLS LTD,2,1
7915550,3957775,3,2567327.946,EASTERN GARMENT PVT LTD,AZGARD NINE LIMITED,2,0
28345000,9448333.333,3,2824899.703,EASTERN GARMENT PVT LTD,EASTERN SPINNING MILLS LIMITED,3,1
14942500,7471250,3,2526138.976,EASTERN GARMENT PVT LTD,ELLCOT SPINNING MILLS LTD,2,1
230543821,14408988.81,3,10633825.36,EASTERN GARMENT PVT LTD,INDUS DYEING & MFG CO LTD,16,1
56256300,28128150,3,29891029.99,EASTERN GARMENT PVT LTD,INDUS LYALLPUR LIMITED,2,1
23000000,23000000,3,,EASTERN GARMENT PVT LTD,J EXPORT PVT LTD,1,0
2370030,2370030,3,,EASTERN GARMENT PVT LTD,KASSIM TEXTILES PVT LTD,1,0
29807300.29,29807300.29,3,,EASTERN GARMENT PVT LTD,KOHINOOR MILLS LTD,1,0
10084000,10084000,3,,EASTERN GARMENT PVT LTD,MARFANI DENIM MILLS,1,0
7257000,7257000,3,,EASTERN GARMENT PVT LTD,PAK DENIM LIMITED,1,0
40114000,20057000,3,3384213.055,EASTERN GARMENT PVT LTD,PAK KUWAIT TEXTILE LIMITED,2,1
8363520,8363520,3,,EASTERN GARMENT PVT LTD,RAUF TEXTILE AND PRINTING MILLS,1,0
22322850,22322850,3,,EASTERN GARMENT PVT LTD,RIA CORPORATION,1,0
8630400,8630400,3,,EASTERN GARMENT PVT LTD,SAPPHIRE FIBRES LIMITED,1,1
44173339,4417333.9,3,3133194.287,EASTERN GARMENT PVT LTD,SAPPHIRE TEXTILE MILLS LIMITED,10,1
11763000,5881500,3,2467095.56,EASTERN GARMENT PVT LTD,SIDDIQSONS LIMITED,2,0
15923786.95,7961893.475,8,6458592.926,ANNABELLA SPA,DADA ENTERPRISESPVTLIMITED,2,0
80375824.05,8037582.405,8,7134000.221,ANNABELLA SPA,EASTERN LEATER COMPANY PVT LTD,10,0
37982460,18991230,1,9399024.556,SMM TEKSTIL URUNLERI SANAYI VE DIS,ABTEX INTERNATIONAL LTD,2,0
13585947,13585947,1,,SMM TEKSTIL URUNLERI SANAYI VE DIS,TATA TEXTILE MILLS LIMITED,1,0
17716985.98,17716985.98,1,,ABTEX INTERNATIONAL LTD,AHMED ORIENTAL TEXTILE MILLS LTD,1,0
5380773,5380773,1,,ABTEX INTERNATIONAL LTD,INDUS DYEING & MFG CO LTD,1,0
53538124,3824151.714,0,2252168.353,BARI TEXTILE MILLS PVT LTD,INDUS DYEING & MFG CO LTD,14,1
2035500,2035500,0,,BARI TEXTILE MILLS PVT LTD,SIDDIQSONS LIMITED,1,1
17915910,17915910,6,,SARAR GIYIM TEKSTIL ENERJI SANVE,NISHAT CHUNIAN LIMITED,1,1
5436507.04,5436507.04,6,,SARAR GIYIM TEKSTIL ENERJI SANVE,QUETTA TEXTILE MILLS LTD,1,0
6157762,6157762,12,,BARNA IMPORT MEDICA,GENERAL TEXTILE CORPORATION,1,0
105801033.9,5877835.219,12,1185927.187,BARNA IMPORT MEDICA,HUSSAIN CORPORATION,18,1
263998680,263998680,17,,SWISS SINGAPORE OVERSEAS,NATIONAL REFINERY LIMITED,1,0
14929125,14929125,17,,SWISS SINGAPORE OVERSEAS,SHAHMURAD SUGAR MILLS LIMITED,1,0
7564008,7564008,3,,STYLERS INTERNATIONAL PVT LTD,KOHINOOR MILLS LTD,1,0
25111000,25111000,3,,STYLERS INTERNATIONAL PVT LTD,RANTEX PRIVATE LIMITED,1,0
10706850,10706850,5,,A A FABRICS,HABIB HASEEB SPINNING MILLS PVT LTD,1,0
1620000,1620000,5,,A A FABRICS,HILAL DYES PVT LIMITED,1,0
6847132,6847132,12,,SARL COMEXPROD,A I TEXTILES,1,0
6463744,6463744,12,,SARL COMEXPROD,AI TEXTILES LTD,1,0
3582342,3582342,18,,APOLLO HOLDINGS PTE LTD,PT SUKSES JAYA PERKASA,1,0
34523115.35,6904623.07,12,2992048.6,RICHBOND SA,A I TEXTILES,5,0
26760935.42,5352187.084,12,996764.3729,RICHBOND SA,WORTHTEX INTERNATIONAL,5,0
29164520,29164520,6,,RING SHINE TEXTILES LTD,JK SPINNING MILLS LTD,1,0
73457633,36728816.5,6,6341018.951,RING SHINE TEXTILES LTD,NAGINA COTTON MILLS LTD,2,1
1814616.62,1814616.62,3,,SUAD GARMENTS INDUSTRIES LTD,DENIM INTERNATIONAL,1,0
4911579.47,4911579.47,3,,SUAD GARMENTS INDUSTRIES LTD,RAUF TEXTILE AND PRINTING MILLS,1,0
3617721,3617721,19,,ZAMAN TEXTILE MILLS LIMITED,PAK KUWAIT TEXTILE LIMITED,1,0
28935810,28935810,19,,ZAMAN TEXTILE MILLS LIMITED,SAPPHIRE TEXTILE MILLS LIMITED,1,1
11041495,11041495,2,,TEDDY SPA,AL AZIZ APPARELS SUPPLY,1,0
56380486.82,56380486.82,2,,TEDDY SPA,JB INDUSTRIES - GARMENT DIVISION,1,0
165641237,55213745.67,0,46028516.64,SOCIETE D'IMPORTATION LECLERC,GUL AHMED TEXTILE MILLS LTD,3,0
312162186,78040546.5,0,34530945.59,SOCIETE D'IMPORTATION LECLERC,SADAQAT CORPORATION PVT LTD,4,0
2047041.81,2047041.81,0,,SUCESORES DE MIGUEL HERREROS SA,ARTISTIC MILLINERS PVT LTD,1,1
13006274,4335424.667,0,1339685.464,SUCESORES DE MIGUEL HERREROS SA,CANARIA TEX PVT LTD,3,0
